medium,url_pattern
NOS,nos.nl
RTLNieuws,rtlnieuws.nl
BNR Nieuwsradio ,bnr.nl
De Volkskrant,volkskrant.nl
Trouw,trouw.nl
Het Algemeen Dagblad ,ad.nl
De Telegraaf ,telegraaf.nl
NRC Handelsblad ,nrc.nl 
Het Parool,parool.nl
Het Financieele Dagblad,fd.nl 
Elsevier ,ewmagazine.nl
HP/De tijd,hpdetijd.nl
Vrij Nederland,vn.nl
De Groene Amsterdammer ,groene.nl
Nieuwsuur,nieuwsuur.nl
EenVandaag,eenvandaag.avrotros.nl
Buitenhof ,vpro.nl/buitenhof
De Monitor,pointer.kro-ncrv.nl/
Goedemorgen Nederland,wnl.tv/programmas/goedemorgen-nederland/
Tegenlicht ,vpro.nl/programmas/tegenlicht.html
Zembla,bnnvara.nl/zembla
Eindhovens Dagblad,ed.nl
Brabants Dagblad,bd.nl
Tubantia,tubantia.nl
De Limburger ,limburger.nl
De Gelderlander,gelderlander.nl
Noordhollands Dagblad ,noordhollandsdagblad.nl
De Stentor ,destentor.nl
Dagblad van het Noorden ,dvhn.nl
BN de Stem ,bndestem.nl
De Leeuwarder Courant ,lc.nl
Leidsch Dablad ,leidschdagblad.nl
De Gooi en Eemlander,gooieneemlander.nl
Haarlems Dagblad,haarlemsdagblad.nl
RTV Noord,rtvnoord.nl
Omroep Fryslan,omropfryslan.nl
NH Nieuws,nhnieuws.nl
RTV Drenthe,rtvdrenthe.nl
RTV Oost,rtvoost.nl
Omroep Gelderland,omroepgelderland.nl
Omroep Flevoland,omroepflevoland.nl/
RTV Utrecht ,rtvutrecht.nl
Omroep West,omroepwest.nl
RTV Rijnmond,rijnmond.nl
Omroep Zeeland,omroepzeeland.nl
Omroep Brabant,omroepbrabant.nl
L1 Limburg,1limburg.nl
